step,node,omega_dimless,phi,spin,omega_obs_Hz,phi_obs_rad
2950,3,0.00004650,4.189521674250,1,-1.449933e+23,-2.093663632930
3000,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
3000,1,-0.00004653,6.282454659643,1,-1.450067e+23,-0.000730647537
3000,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
3000,3,0.00004653,4.189520852323,1,-1.449933e+23,-2.093664454856
3050,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
3050,1,-0.00004657,6.282455480647,1,-1.450068e+23,-0.000729826533
3050,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
3050,3,0.00004657,4.189520031319,1,-1.449932e+23,-2.093665275860
3100,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
3100,1,-0.00004661,6.282456300728,1,-1.450068e+23,-0.000729006451
3100,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
3100,3,0.00004661,4.189519211238,1,-1.449932e+23,-2.093666095942
3150,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
3150,1,-0.00004665,6.282457119889,1,-1.450068e+23,-0.000728187290
3150,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
3150,3,0.00004665,4.189518392077,1,-1.449932e+23,-2.093666915103
3200,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
3200,1,-0.00004668,6.282457938130,1,-1.450068e+23,-0.000727369049
3200,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
3200,3,0.00004668,4.189517573836,1,-1.449932e+23,-2.093667733344
3250,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
3250,1,-0.00004672,6.282458755452,1,-1.450068e+23,-0.000726551727
3250,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
3250,3,0.00004672,4.189516756514,1,-1.449932e+23,-2.093668550666
3300,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
3300,1,-0.00004676,6.282459571857,1,-1.450068e+23,-0.000725735323
3300,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
3300,3,0.00004676,4.189515940109,1,-1.449932e+23,-2.093669367070
3350,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
3350,1,-0.00004680,6.282460387344,1,-1.450068e+23,-0.000724919835
3350,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
3350,3,0.00004680,4.189515124622,1,-1.449932e+23,-2.093670182558
3400,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
3400,1,-0.00004684,6.282461201916,1,-1.450068e+23,-0.000724105264
3400,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
3400,3,0.00004684,4.189514310050,1,-1.449932e+23,-2.093670997130
3450,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
