i,curv
1491,1307.0
1492,0.0
1493,764.0
1494,86.0
1495,2136.0
1496,1207.0
1497,0.0
1498,3565.0
1499,20.0
1500,1637.0
1501,4061.0
1502,4476.0
1503,833.0
1504,2027.0
1505,2683.0
1506,0.0
1507,198.0
1508,583.0
1509,2577.0
1510,1.0
1511,3236.0
1512,1153.0
1513,114.0
1514,415.0
1515,0.0
1516,18.0
1517,166.0
1518,311.0
1519,75.0
1520,328.0
1521,933.0
1522,8.0
1523,3628.0
1524,533.0
1525,447.0
1526,504.0
1527,1585.0
1528,1396.0
1529,224.0
1530,264.0
1531,52.0
1532,403.0
1533,379.0
1534,78.0
1535,413.0
1536,0.0
1537,269.0
1538,46.0
1539,3491.0
1540,226.0
1541,2081.0
1542,2412.0
1543,418.0
1544,3180.0
1545,0.0
1546,24.0
1547,101.0
1548,8.0
1549,4989.0
1550,1001.0
1551,0.0
1552,581.0
1553,137.0
1554,3142.0
1555,46.0
1556,930.0
1557,1464.0
1558,3064.0
1559,292.0
1560,427.0
1561,329.0
1562,3867.0
1563,2786.0
1564,386.0
1565,451.0
1566,0.0
1567,152.0
1568,116.0
1569,4573.0
1570,1133.0
1571,58.0
1572,1185.0
1573,3873.0
1574,545.0
1575,95.0
1576,5017.0
1577,108.0
1578,1641.0
1579,368.0
1580,3137.0
1581,39.0
1582,747.0
1583,97.0
1584,148.0
1585,63.0
1586,129.0
1587,1438.0
1588,247.0
1589,1062.0
1590,4193.0
1591,994.0
1592,163.0
1593,92.0
1594,658.0
1595,332.0
1596,5060.0
1597,121.0
1598,751.0
1599,3257.0
1600,0.0
1601,1617.0
1602,1153.0
1603,1212.0
1604,2427.0
1605,2864.0
1606,1225.0
1607,3600.0
1608,169.0
1609,503.0
1610,1893.0
1611,15.0
1612,2822.0
1613,1156.0
1614,717.0
1615,1985.0
1616,1271.0
1617,4314.0
1618,1.0
1619,1360.0
1620,3692.0
1621,83.0
1622,231.0
1623,1110.0
1624,87.0
1625,3239.0
1626,3535.0
1627,0.0
1628,923.0
1629,1894.0
1630,0.0
1631,88.0
1632,4521.0
1633,626.0
1634,254.0
1635,3076.0
1636,43.0
1637,0.0
1638,175.0
1639,1538.0
1640,1228.0
1641,0.0
