i,j,kappa_ollivier
599,4056,0.0765035
616,1050,-0.0537732
249,3550,-0.0135031
3200,3504,0.362693
3364,3398,0.180738
867,1243,0.136842
2159,2503,0.431878
2861,3110,0.526328
492,1060,-0.129921
833,1783,0.0700919
1942,3374,-0.185819
3864,4026,0.0369719
917,2616,0.219161
1935,2636,-0.0430188
922,2802,-0.0673914
23,1037,0.010402
1964,2253,-0.0276637
1061,3529,0.0486796
2520,2788,-0.206714
548,2487,0.205738
230,1093,-0.130382
1821,3302,-0.0308077
1318,3241,0.0711159
2909,3319,-0.114702
1105,1401,-0.103721
3943,3946,0.181487
1717,2511,-0.396084
901,3815,-0.0234883
1915,2222,-0.0287439
1117,3936,-0.12421
700,3196,0.368806
1504,2672,-0.0681865
2065,3418,0.668062
352,1736,0.346013
855,1713,0.20416
1488,3865,-0.0845434
2752,4046,0.0586953
1385,2620,-0.0652461
2775,3156,-0.26161
1091,2568,-0.083537
1088,2602,0.116273
57,3692,0.000519995
1569,2323,0.0222795
1001,3307,-0.148225
20,3995,0.33163
140,2194,0.0435903
3156,3974,-0.141133
2151,2443,-0.365609
1052,1109,0.14909
825,2033,0.432597
3163,4062,0.214257
1355,3591,0.164637
780,3710,-0.0154576
3804,3807,-0.0442481
667,3774,-0.140934
3382,3789,-0.0771146
905,1236,0.075031
464,1718,0.045444
3544,3749,-0.0139226
317,1539,0.430789
3528,3693,-0.194087
109,1870,0.187289
1153,3126,0.0573938
1817,3659,-0.115914
94,2600,0.334904
2822,3881,0.153955
1412,1979,0.363723
440,4036,0.184254
288,3146,0.0770229
1087,3221,-0.338119
1232,3094,0.047958
1673,2163,0.57959
618,3976,-0.02955
709,2637,-0.0578078
442,740,-0.00520206
2458,3944,-0.177495
1419,1454,0.217854
2384,2714,-0.22926
2183,2854,-0.0235204
990,3640,-0.22276
579,598,0.375316
929,1930,-0.175329
2057,2160,0.0628864
1087,2706,-0.227326
1282,1552,0.114198
377,3068,-0.105024
1980,3104,-0.306145
235,1714,-0.0636731
481,4029,-0.288888
806,2874,0.62876
1576,3150,0.103037
2622,2630,0.308129
1417,3019,-0.133222
288,2210,-0.175396
1562,1942,-0.0133425
36,47,-0.118764
955,3459,-0.312022
2436,3955,0.00282855
408,2788,-0.0612073
1899,2501,-0.298955
1426,2549,-0.197904
947,3776,0.0324456
2874,3209,0.194719
1486,2823,-0.368759
3907,3929,-0.607374
1437,1620,-0.213921
358,2700,-0.0862162
841,1059,-0.366524
2001,3708,-0.125317
70,1714,-0.217701
3360,3441,0.00477675
2659,2797,-0.559805
1235,3722,-0.230534
3209,3976,-0.109775
789,2207,-0.141311
185,2302,-0.126327
3760,4037,0.173329
1961,1973,0.192086
1117,3572,-0.211397
1626,3199,-0.148484
381,2963,-0.218928
476,3259,-0.250743
128,3970,0.119059
102,2767,0.192183
1131,1713,-0.220253
2125,2997,-0.243683
