u,v,w_uv,kappa_forman
797,2884,0.7302514910697937,1.0126643180847168
798,1217,0.587421715259552,2.0
801,879,0.9569637179374695,2.0
810,1096,0.5471829771995544,2.0
813,3848,0.5846339464187622,2.0
815,2266,0.8691356182098389,-0.22548413276672363
817,1993,0.5210639834403992,2.0
824,4049,0.7908754944801331,0.6332637071609497
826,850,0.6425439119338989,0.8351050615310669
826,1594,0.5413155555725098,1.179652452468872
830,3959,0.6277153491973877,2.0
832,2328,0.7337551116943359,2.0
833,1011,0.6766961812973022,0.8539634943008423
835,2464,0.961087703704834,2.0
852,2521,0.7894946336746216,0.7746328115463257
857,2529,0.5228322148323059,2.0
860,1425,0.7808747887611389,-0.5136842727661133
860,3673,0.5255725979804993,1.4464423656463623
862,3818,0.5464285016059875,2.0
863,2029,0.5759875178337097,-1.8281147480010986
863,2695,0.6406590938568115,-2.8742053508758545
863,2917,0.7280631065368652,-6.320154190063477
867,3651,0.6109301447868347,2.0
872,2401,0.6019890308380127,2.0
874,984,0.5755077004432678,2.0
878,2613,0.5548696517944336,2.0
880,1733,0.6079469323158264,2.0
896,3755,0.6917226910591125,2.0
899,2653,0.7126618027687073,2.0
900,3068,0.5762479305267334,2.0
904,3017,0.6150380373001099,2.0
906,4055,0.7742740511894226,2.0
914,2720,0.580406129360199,1.0541102886199951
927,1836,0.5671862959861755,0.39202189445495605
927,3302,0.7786461114883423,0.7032723426818848
933,2479,0.5378418564796448,2.0
945,1465,0.695141077041626,2.0
947,3791,0.5263821482658386,2.0
952,3461,0.5601228475570679,-2.7990782260894775
957,3645,0.5537906885147095,2.0
958,1837,0.5326274633407593,2.0
963,4015,0.6936743855476379,2.0
965,2483,0.5187212824821472,2.0
966,2927,0.6030625104904175,2.0
970,1759,0.7202448844909668,-0.2728242874145508
981,2020,0.6035239696502686,2.0
985,2706,0.6082124710083008,2.0
988,1590,0.5487455129623413,-16.238475799560547
988,3301,0.5117785930633545,-7.979243278503418
988,3999,0.5752721428871155,-8.063956260681152
992,2948,0.518232524394989,2.0
996,1949,0.6722776889801025,2.0
1003,1590,0.8157870173454285,-11.408452987670898
1003,1632,0.5926980376243591,-11.054333686828613
1003,2941,0.5143309235572815,-28.241819381713867
1004,3707,0.6333289742469788,2.0
1010,1463,0.5637256503105164,2.0
1013,2742,0.7759395241737366,2.0
1014,1768,0.6243469715118408,2.0
1021,2045,0.6117908954620361,1.2253949642181396
1023,2685,0.720024585723877,2.0
1026,3181,0.7557135820388794,2.0
