step,node,omega,phi,spin,,
9200,1,1,5.497787144,-1,-1,0
9200,2,1,2.35619449,1,1,0
9200,3,1,2.35619449,-1,-1,0
9300,0,1,5.497787144,1,1,0
9300,1,1,5.497787144,-1,-1,0
9300,2,1,2.35619449,1,1,0
9300,3,1,2.35619449,-1,-1,0
9400,0,1,5.497787144,1,1,0
9400,1,1,5.497787144,-1,-1,0
9400,2,1,2.35619449,1,1,0
9400,3,1,2.35619449,-1,-1,0
9500,0,1,5.497787144,1,1,0
9500,1,1,5.497787144,-1,-1,0
9500,2,1,2.35619449,1,1,0
9500,3,1,2.35619449,-1,-1,0
9600,0,1,5.497787144,1,1,0
9600,1,1,5.497787144,-1,-1,0
9600,2,1,2.35619449,1,1,0
9600,3,1,2.35619449,-1,-1,0
9700,0,1,5.497787144,1,1,0
9700,1,1,5.497787144,-1,-1,0
9700,2,1,2.35619449,1,1,0
9700,3,1,2.35619449,-1,-1,0
9800,0,1,5.497787144,1,1,0
9800,1,1,5.497787144,-1,-1,0
9800,2,1,2.35619449,1,1,0
9800,3,1,2.35619449,-1,-1,0
9900,0,1,5.497787144,1,1,0
9900,1,1,5.497787144,-1,-1,0
9900,2,1,2.35619449,1,1,0
9900,3,1,2.35619449,-1,-1,0
