u,v,kappa_ollivier
508,3116,0.0
142,2280,0.0
583,1431,0.5150974581298331
460,1433,0.0
1729,2409,0.0
413,1770,0.0
323,2069,0.0
1712,2091,0.0
1322,3481,0.0
279,2924,0.0
1864,2671,0.0
2600,2722,0.0
489,974,0.4251525294321239
3,239,0.0
178,3214,0.0
1205,1290,0.0
810,1096,0.0
2417,3856,0.41682333250838743
133,1052,0.0
788,1766,0.0
711,2041,0.0
1351,3213,0.5637156610658922
1749,2582,0.3146172189167149
1590,2941,-0.07509169994343945
872,2401,0.0
1412,2521,0.0
2317,3221,0.6856439279106363
273,2974,0.6122225320763739
1885,2495,0.0
1228,1236,0.0
544,1384,0.0
1485,3423,0.0
1796,3899,0.0
2612,3197,0.4986551155134298
753,2334,0.5216579063952314
139,3891,0.0
1619,2655,0.0
1010,1463,0.0
528,3006,0.0
900,3068,0.0
2273,2913,0.0
1371,1942,0.0
2322,2802,0.4863992548588234
1034,1439,0.0
623,2582,0.0
2581,3991,0.0
114,2056,0.0
860,1425,0.0
1196,1667,0.5439605605355378
826,850,0.0
120,3889,0.0
2440,3446,-0.15869644792033677
852,2521,0.0
2253,3324,0.0
1875,3678,0.4733899280477548
476,2812,0.0
2594,4010,0.0
1109,1836,0.0
721,1424,0.0
42,300,0.5797280022992803
992,2948,0.0
1988,3972,0.5090655778702076
747,1238,0.0
780,1303,0.0
272,1431,0.4849025418701668
1233,2769,-0.03680852180644134
1141,1901,0.0
116,2826,0.0
60,2122,0.0
5,2993,0.43796486587586003
1688,3286,0.0
1578,2403,0.4985337359167922
16,135,0.0
3857,4005,0.49806859951492144
317,1472,0.45223170971000115
361,1315,0.0
2212,2359,0.0
26,1425,0.0
367,849,0.0
1104,2904,0.0
30,3418,0.3009980982307737
2514,3128,0.0
3171,4005,0.0
418,502,0.0
373,970,0.4276031763672661
648,1967,-0.4151268452310142
1472,3415,0.393749114283265
2326,2894,0.0
151,4064,0.0
3889,4008,0.0
126,2106,0.46894439637566376
2608,3506,0.0
315,2551,0.6944770011206233
1467,3112,0.0
1653,2206,0.0
1445,1866,0.0
466,895,0.0
1219,3206,0.0
3147,3829,0.0
2269,3036,0.0
1582,2261,0.4074768617353395
397,1599,0.0
1653,1708,0.0
711,2837,0.28332888318885163
147,824,-0.3877770358408068
1542,2654,0.0
1449,2831,0.0
2016,2454,0.0
266,2428,0.0
3377,4076,0.0
1112,3089,0.45854634443132614
711,1563,0.2768592031962306
1266,3094,0.380088015682708
2750,3907,0.0
1172,3858,0.4279773234361538
766,3766,0.0
43,2004,0.0
914,2720,0.0
1854,2011,0.0
2541,3486,0.0
2648,2769,0.0
817,1993,0.0
2552,3178,0.0
2485,3630,0.0
251,2333,0.0
1189,1812,0.0
832,2328,0.0
